cond,model,scenario_id,cell_type,unethical
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,gpt55,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,opus48,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gemini3pro,s1,fully_true,1
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,3
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,gpt55,s1,palter,4
with V/G prompting,opus48,s1,palter,5
with V/G prompting,opus48,s1,palter,6
with V/G prompting,opus48,s1,palter,5
with V/G prompting,opus48,s1,palter,6
with V/G prompting,opus48,s1,palter,6
with V/G prompting,opus48,s1,palter,5
with V/G prompting,opus48,s1,palter,5
with V/G prompting,opus48,s1,palter,6
with V/G prompting,opus48,s1,palter,5
with V/G prompting,opus48,s1,palter,5
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,5
with V/G prompting,gemini3pro,s1,palter,5
with V/G prompting,gemini3pro,s1,palter,5
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gemini3pro,s1,palter,6
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,truthy_falsehood,4
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,opus48,s1,truthy_falsehood,3
with V/G prompting,gemini3pro,s1,truthy_falsehood,5
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,5
with V/G prompting,gemini3pro,s1,truthy_falsehood,5
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gemini3pro,s1,truthy_falsehood,4
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,gpt55,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,opus48,s1,blatant_falsehood,6
with V/G prompting,gemini3pro,s1,blatant_falsehood,5
with V/G prompting,gemini3pro,s1,blatant_falsehood,6
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gemini3pro,s1,blatant_falsehood,6
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gemini3pro,s1,blatant_falsehood,6
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gemini3pro,s1,blatant_falsehood,7
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,gpt55,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,2
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,2
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,opus48,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,1
with V/G prompting,gemini3pro,s2,fully_true,2
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
