arm,cell_type,dimension,rating,unethical
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,6,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,fully_true,GIST truth,7,1
cold,fully_true,VERBATIM truth,7,1
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,5,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,5,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,4,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,4,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,5,3
cold,palter,GIST truth,2,2
cold,palter,VERBATIM truth,5,2
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,4,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,4,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,6,3
cold,palter,GIST truth,2,3
cold,palter,VERBATIM truth,3,3
cold,palter,GIST truth,2,5
cold,palter,VERBATIM truth,5,5
cold,palter,GIST truth,2,5
cold,palter,VERBATIM truth,5,5
cold,palter,GIST truth,2,4
cold,palter,VERBATIM truth,5,4
cold,palter,GIST truth,2,4
cold,palter,VERBATIM truth,5,4
cold,palter,GIST truth,2,4
cold,palter,VERBATIM truth,5,4
cold,palter,GIST truth,2,4
cold,palter,VERBATIM truth,5,4
cold,palter,GIST truth,2,5
cold,palter,VERBATIM truth,5,5
cold,palter,GIST truth,2,4
cold,palter,VERBATIM truth,5,4
