arm,cell_type,gist,verbatim,vgroup,unethical
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.0,4.5,mid,2.9
cold,palter,2.0,5.0,verbatim perceived HIGH (>=5),4.5
cold,palter,2.0,7.0,verbatim perceived HIGH (>=5),1.7
cold,truthy_falsehood,6.7,2.8,verbatim perceived LOW (<=3),1.7
cold,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),2.3
cold,truthy_falsehood,7.0,2.4,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.9
cold,fully_true,6.9,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.4,6.2,verbatim perceived HIGH (>=5),1.5
cold,palter,3.0,4.9,mid,3.0
cold,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,2.6,1.3,verbatim perceived LOW (<=3),1.9
cold,truthy_falsehood,4.0,1.8,verbatim perceived LOW (<=3),3.1
cold,truthy_falsehood,1.1,1.0,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),2.8
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.3,5.1,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.5,verbatim perceived HIGH (>=5),1.0
cold,palter,3.1,6.7,verbatim perceived HIGH (>=5),1.2
cold,palter,2.1,6.1,verbatim perceived HIGH (>=5),3.2
cold,palter,2.7,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,5.8,2.0,verbatim perceived LOW (<=3),1.9
cold,truthy_falsehood,5.2,3.0,verbatim perceived LOW (<=3),2.9
cold,truthy_falsehood,5.0,2.5,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.7,verbatim perceived LOW (<=3),3.3
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
cold,blatant_falsehood,1.1,1.3,verbatim perceived LOW (<=3),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.8,7.0,verbatim perceived HIGH (>=5),2.0
cold,palter,3.4,6.0,verbatim perceived HIGH (>=5),3.1
cold,palter,4.2,7.0,verbatim perceived HIGH (>=5),1.2
cold,truthy_falsehood,6.0,5.7,verbatim perceived HIGH (>=5),1.1
cold,truthy_falsehood,2.0,6.0,verbatim perceived HIGH (>=5),3.4
cold,truthy_falsehood,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.2
cold,fully_true,6.6,5.8,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.0,5.2,verbatim perceived HIGH (>=5),1.9
cold,fully_true,7.0,6.9,verbatim perceived HIGH (>=5),1.0
cold,palter,5.8,5.6,verbatim perceived HIGH (>=5),1.0
cold,palter,5.2,4.3,mid,2.3
cold,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,5.3,1.1,verbatim perceived LOW (<=3),2.1
cold,truthy_falsehood,4.1,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,5.8,2.2,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),2.0
cold,blatant_falsehood,1.6,1.0,verbatim perceived LOW (<=3),3.5
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.5,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.0,5.4,verbatim perceived HIGH (>=5),3.5
cold,palter,2.0,3.0,verbatim perceived LOW (<=3),5.0
cold,palter,2.0,3.3,mid,1.3
cold,truthy_falsehood,6.3,2.2,verbatim perceived LOW (<=3),2.7
cold,truthy_falsehood,6.0,2.3,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,6.1,4.3,mid,1.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
cold,fully_true,6.6,5.7,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.8,3.7,mid,1.9
cold,fully_true,7.0,6.7,verbatim perceived HIGH (>=5),1.0
cold,palter,2.0,5.1,verbatim perceived HIGH (>=5),3.3
cold,palter,1.6,3.1,mid,5.3
cold,palter,1.8,6.7,verbatim perceived HIGH (>=5),4.2
cold,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),1.9
cold,truthy_falsehood,5.1,2.1,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,6.0,2.9,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.0,5.9,verbatim perceived HIGH (>=5),2.7
cold,palter,1.0,1.0,verbatim perceived LOW (<=3),5.7
cold,palter,2.0,6.1,verbatim perceived HIGH (>=5),2.9
cold,truthy_falsehood,5.9,2.0,verbatim perceived LOW (<=3),2.0
cold,truthy_falsehood,5.1,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,5.0,2.6,verbatim perceived LOW (<=3),1.1
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.7
cold,fully_true,6.0,4.9,mid,1.3
cold,fully_true,6.2,4.8,mid,1.6
cold,fully_true,7.0,6.3,verbatim perceived HIGH (>=5),1.0
cold,palter,5.8,6.2,verbatim perceived HIGH (>=5),1.0
cold,palter,3.2,5.9,verbatim perceived HIGH (>=5),3.2
cold,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,5.7,2.0,verbatim perceived LOW (<=3),2.8
cold,truthy_falsehood,5.9,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,5.0,2.3,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.9
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.6
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,1.9,5.8,verbatim perceived HIGH (>=5),4.7
cold,palter,2.0,3.0,verbatim perceived LOW (<=3),4.0
cold,palter,2.1,6.0,verbatim perceived HIGH (>=5),4.9
cold,truthy_falsehood,4.2,1.9,verbatim perceived LOW (<=3),2.3
cold,truthy_falsehood,4.5,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,4.6,2.0,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.4
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.7
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.2,6.5,verbatim perceived HIGH (>=5),2.3
cold,palter,2.0,6.3,verbatim perceived HIGH (>=5),4.0
cold,palter,2.5,7.0,verbatim perceived HIGH (>=5),1.3
cold,truthy_falsehood,6.8,5.7,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,5.6,3.1,mid,2.5
cold,truthy_falsehood,7.0,5.6,verbatim perceived HIGH (>=5),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),3.8
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.1
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
cold,fully_true,7.0,6.8,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.9,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.1,5.5,verbatim perceived HIGH (>=5),2.0
cold,palter,3.0,4.6,mid,3.2
cold,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,6.0,2.6,verbatim perceived LOW (<=3),1.6
cold,truthy_falsehood,5.4,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,6.7,2.4,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.4
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.3
cold,fully_true,5.0,4.1,mid,2.0
cold,fully_true,3.6,5.0,verbatim perceived HIGH (>=5),3.0
cold,fully_true,6.1,6.8,verbatim perceived HIGH (>=5),1.0
cold,palter,3.0,5.9,verbatim perceived HIGH (>=5),1.8
cold,palter,2.0,5.0,verbatim perceived HIGH (>=5),4.0
cold,palter,3.2,5.8,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,2.5,1.1,verbatim perceived LOW (<=3),2.0
cold,truthy_falsehood,2.9,2.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,3.2,2.1,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.2,1.0,verbatim perceived LOW (<=3),2.9
cold,blatant_falsehood,3.0,2.0,verbatim perceived LOW (<=3),4.0
cold,blatant_falsehood,3.5,2.2,verbatim perceived LOW (<=3),1.0
cold,fully_true,6.2,5.0,verbatim perceived HIGH (>=5),1.0
