model,scenario_id,cell_type,verbatim,gist,unethical
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,6,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
gpt56sol,s1,fully_true,7,7,1
opus48,s1,fully_true,7,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,7,7,1
opus48,s1,fully_true,7,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,6,7,1
opus48,s1,fully_true,6,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gemini35flash,s1,fully_true,7,7,1
gpt56sol,s1,palter,6,2,3
gpt56sol,s1,palter,5,2,3
gpt56sol,s1,palter,6,2,3
gpt56sol,s1,palter,5,2,3
gpt56sol,s1,palter,6,2,4
gpt56sol,s1,palter,5,2,3
gpt56sol,s1,palter,6,2,3
gpt56sol,s1,palter,5,2,3
gpt56sol,s1,palter,5,2,3
gpt56sol,s1,palter,6,2,3
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
opus48,s1,palter,5,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,4
gemini35flash,s1,palter,7,2,5
gemini35flash,s1,palter,7,2,5
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
gpt56sol,s1,truthy_falsehood,3,6,2
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
