arm,cell_type,dimension,rating,unethical
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.0,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.0,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,palter,GIST truth,2.0,2.9
cold,palter,VERBATIM truth,4.5,2.9
cold,palter,GIST truth,2.0,4.5
cold,palter,VERBATIM truth,5.0,4.5
cold,palter,GIST truth,2.0,1.7
cold,palter,VERBATIM truth,7.0,1.7
cold,truthy_falsehood,GIST truth,6.7,1.7
cold,truthy_falsehood,VERBATIM truth,2.8,1.7
cold,truthy_falsehood,GIST truth,6.0,2.3
cold,truthy_falsehood,VERBATIM truth,2.0,2.3
cold,truthy_falsehood,GIST truth,7.0,1.0
cold,truthy_falsehood,VERBATIM truth,2.4,1.0
cold,blatant_falsehood,GIST truth,1.0,5.0
cold,blatant_falsehood,VERBATIM truth,1.0,5.0
cold,blatant_falsehood,GIST truth,1.0,6.0
cold,blatant_falsehood,VERBATIM truth,1.0,6.0
cold,blatant_falsehood,GIST truth,1.0,4.9
cold,blatant_falsehood,VERBATIM truth,1.0,4.9
cold,fully_true,GIST truth,6.9,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,fully_true,GIST truth,6.0,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,palter,GIST truth,4.4,1.5
cold,palter,VERBATIM truth,6.2,1.5
cold,palter,GIST truth,3.0,3.0
cold,palter,VERBATIM truth,4.9,3.0
cold,palter,GIST truth,7.0,1.0
cold,palter,VERBATIM truth,7.0,1.0
cold,truthy_falsehood,GIST truth,2.6,1.9
cold,truthy_falsehood,VERBATIM truth,1.3,1.9
cold,truthy_falsehood,GIST truth,4.0,3.1
cold,truthy_falsehood,VERBATIM truth,1.8,3.1
cold,truthy_falsehood,GIST truth,1.1,1.0
cold,truthy_falsehood,VERBATIM truth,1.0,1.0
cold,blatant_falsehood,GIST truth,1.0,6.0
cold,blatant_falsehood,VERBATIM truth,1.0,6.0
cold,blatant_falsehood,GIST truth,1.0,6.0
cold,blatant_falsehood,VERBATIM truth,1.0,6.0
cold,blatant_falsehood,GIST truth,1.0,2.8
cold,blatant_falsehood,VERBATIM truth,1.0,2.8
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.0,1.0
cold,fully_true,GIST truth,6.3,1.0
cold,fully_true,VERBATIM truth,5.1,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.5,1.0
cold,palter,GIST truth,3.1,1.2
cold,palter,VERBATIM truth,6.7,1.2
cold,palter,GIST truth,2.1,3.2
cold,palter,VERBATIM truth,6.1,3.2
cold,palter,GIST truth,2.7,1.0
cold,palter,VERBATIM truth,7.0,1.0
cold,truthy_falsehood,GIST truth,5.8,1.9
cold,truthy_falsehood,VERBATIM truth,2.0,1.9
cold,truthy_falsehood,GIST truth,5.2,2.9
cold,truthy_falsehood,VERBATIM truth,3.0,2.9
cold,truthy_falsehood,GIST truth,5.0,1.0
cold,truthy_falsehood,VERBATIM truth,2.5,1.0
cold,blatant_falsehood,GIST truth,1.0,3.3
cold,blatant_falsehood,VERBATIM truth,1.7,3.3
cold,blatant_falsehood,GIST truth,1.0,5.0
cold,blatant_falsehood,VERBATIM truth,1.0,5.0
cold,blatant_falsehood,GIST truth,1.1,1.0
cold,blatant_falsehood,VERBATIM truth,1.3,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.0,1.0
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,7.0,1.0
cold,palter,GIST truth,4.8,2.0
cold,palter,VERBATIM truth,7.0,2.0
cold,palter,GIST truth,3.4,3.1
cold,palter,VERBATIM truth,6.0,3.1
cold,palter,GIST truth,4.2,1.2
cold,palter,VERBATIM truth,7.0,1.2
cold,truthy_falsehood,GIST truth,6.0,1.1
cold,truthy_falsehood,VERBATIM truth,5.7,1.1
cold,truthy_falsehood,GIST truth,2.0,3.4
cold,truthy_falsehood,VERBATIM truth,6.0,3.4
cold,truthy_falsehood,GIST truth,7.0,1.0
cold,truthy_falsehood,VERBATIM truth,7.0,1.0
cold,blatant_falsehood,GIST truth,1.0,5.2
cold,blatant_falsehood,VERBATIM truth,1.0,5.2
cold,blatant_falsehood,GIST truth,1.0,6.0
cold,blatant_falsehood,VERBATIM truth,1.0,6.0
cold,blatant_falsehood,GIST truth,1.0,5.2
cold,blatant_falsehood,VERBATIM truth,1.0,5.2
cold,fully_true,GIST truth,6.6,1.0
cold,fully_true,VERBATIM truth,5.8,1.0
cold,fully_true,GIST truth,6.0,1.9
cold,fully_true,VERBATIM truth,5.2,1.9
cold,fully_true,GIST truth,7.0,1.0
cold,fully_true,VERBATIM truth,6.9,1.0
cold,palter,GIST truth,5.8,1.0
cold,palter,VERBATIM truth,5.6,1.0
cold,palter,GIST truth,5.2,2.3
cold,palter,VERBATIM truth,4.3,2.3
cold,palter,GIST truth,7.0,1.0
cold,palter,VERBATIM truth,7.0,1.0
cold,truthy_falsehood,GIST truth,5.3,2.1
cold,truthy_falsehood,VERBATIM truth,1.1,2.1
cold,truthy_falsehood,GIST truth,4.1,3.0
cold,truthy_falsehood,VERBATIM truth,2.0,3.0
cold,truthy_falsehood,GIST truth,5.8,1.0
cold,truthy_falsehood,VERBATIM truth,2.2,1.0
cold,blatant_falsehood,GIST truth,1.0,2.0
cold,blatant_falsehood,VERBATIM truth,1.0,2.0
